date,open,high,low,close,volume,marketcap,google_trends,gold,silver,platinum,palladium,oil,usd_eur,usd_jpy,usd_gbp,usd_cny,usd_chf,SP500,Dow_Jones,Nasdaq,Russel_2000,FTSE_100,Nikkei,SSE,Eurostoxx,VIX,NVDA,GOOG,num_of_TXN,TXN_per_block,est_TXN_vol,cost_per_TXN,total_TXN_fees,usd_trade_vol,hash_rate,avg_block_size,difficulty,num_unique_addr,miners_revenue,volatility
4/1/11,0.295,0.2999,0.289,0.2989,548.33,1514954.793,0.019074252,1388.5,30.67,1753.0,784.0,89.39,1.342100024,0.012180268000000001,1.5607998369999998,0.151023179,1.057865262,1270.199951,11691.17969,21.30246162,785.8300171,6013.899902,10398.09961,2852.6479489999997,2844.169922,17.37999916,14.59537506,299.114563,1242,7.0,8950.0,1.71439847,0.023855445,789.5440973,0.115111773,0.002295662,16307.42094,943,2129.2829,0.037022397642531235
5/1/11,0.2989,0.299,0.29,0.299,106.19,1512645.832,0.019074252,1368.0,29.21,1722.0,754.0,90.3,1.32130003,0.012190662,1.5593999619999999,0.150840938,1.051193118,1276.560059,11722.88965,21.06201553,795.0900268999999,6043.899902,10380.76953,2839.220947,2833.73999,17.02000046,15.71524239,302.5670776,1192,8.0,4746.0,1.881279362,0.017457405,57.81395428,0.121596944,0.002128557,16307.42094,1064,2242.485,0.030562650410166814
6/1/11,0.299,0.299,0.29,0.298,1031.28,1514853.6,0.019074252,1368.5,29.08,1731.0,766.0,88.37,1.3091000320000001,0.012016342,1.548400164,0.15077953,1.033591747,1273.849976,11697.30957,20.97295761,791.4199829,6019.5,10529.75977,2824.197021,2836.22998,17.39999962,17.8902092,304.7677917,850,7.0,5052.0,2.585470588,0.026185161000000002,890.419309,0.119165005,0.00173016,16307.42094,950,2197.65,0.030562650410166814
7/1/11,0.298,0.322,0.2975,0.32,13152.15,1633699.2,0.019074252,1367.0,28.39,1735.0,754.0,88.07,1.29610002,0.01200048,1.544400215,0.150736347,1.037021756,1271.5,11674.75977,20.82155991,787.8300171,5984.299805,10541.04004,2838.801025,2808.25,17.13999939,18.38998413,306.2282715,880,7.0,5304.0,2.634545455,0.023675089,13047.281579999999,0.116733066,0.001583695,16307.42094,887,2318.4,0.07913732055872402
8/1/11,0.32,0.3229,0.309,0.3229,512.04,1641355.114,0.019074252,1367.0,28.39,1735.0,754.0,88.07,1.29610002,0.01200048,1.544400215,0.150736347,1.037021756,1271.5,11674.75977,20.82155991,787.8300171,5984.299805,10541.04004,2838.801025,2808.25,17.13999939,18.38998413,306.2282715,1392,6.0,9216.0,2.226882759,0.00645796,1273.388302,0.155644088,0.001874611,16307.42094,1267,3099.8208,0.044001400866484186
9/1/11,0.3229,0.32299999999999995,0.3229,0.32299999999999995,546.18,1644318.218,0.019074252,1367.0,28.39,1735.0,754.0,88.07,1.29610002,0.01200048,1.544400215,0.150736347,1.037021756,1271.5,11674.75977,20.82155991,787.8300171,5984.299805,10541.04004,2838.801025,2808.25,17.13999939,18.38998413,306.2282715,1193,7.0,4919.0,2.057656999,0.044462073,639.8945677999999,0.123218236,0.002045638,16307.42094,1110,2454.7848,0.00030964545842682156
10/1/11,0.32299999999999995,0.32899999999999996,0.3175,0.3266,3360.65,1677620.35,0.019074252,1368.25,28.79,1742.0,753.0,89.24,1.290299892,0.01200048,1.5518001319999999,0.150718167,1.035089612,1269.75,11637.4502,20.89280319,791.5800171,5956.299805,10541.04004,2791.809082,2760.8798829999996,17.54000092,19.09337425,305.12048339999996,1358,5.0,9608.0,2.0229381440000003,0.025939902999999997,3418.8679840000004,0.135377931,0.0022201820000000002,16307.42094,1209,2747.15,0.03557993243262536
11/1/11,0.3266,0.3266,0.3176,0.3266,1578.66,1680285.25,0.019074252,1374.0,29.54,1758.0,778.0,91.11,1.294800162,0.012036591000000001,1.557399988,0.15102089900000001,1.032951117,1274.47998,11671.87988,21.16888618,794.7600097999999,6014.0,10510.67969,2804.0471190000003,2796.600098,16.88999939,18.79721451,306.014679,1262,5.0,10925.0,2.1116481780000003,0.00987,1335.411987,0.13132469900000002,0.002183991,16307.42094,1185,2664.9,0.027943451163384037
12/1/11,0.3266,0.3557,0.318,0.3188,10508.17,1790460.0,0.0,1378.75,29.6,1793.0,803.0,91.85,1.297299862,0.012003361,1.560299993,0.151221871,1.028066158,1285.959961,11755.44043,21.338092800000002,801.3599853999999,6050.700195,10512.7998,2821.304932,2879.110107,16.23999977,21.61077881,306.4418945,1233,4.0,19002.0,2.370235199,0.084745174,10463.0505,0.135377931,0.001973512,16307.42094,1084,2922.5,0.11203629617423272
13/1/11,0.3188,0.405,0.3176,0.3176,7147.03,2075564.25,0.0,1381.5,29.22,1824.0,819.0,91.39,1.319900155,0.012035144,1.576900125,0.15152204,1.028171897,1283.76001,11731.90039,21.47167587,800.6500244,6023.899902,10589.75977,2827.711914,2915.6201170000004,16.38999939,21.64780045,306.35247799999996,1271,5.0,12205.0,2.947482297,0.0324,5852.6631,0.149969564,0.0018256210000000001,16307.42094,1150,3746.25,0.2430943377335586
